status,mode,source_file,dn_raw,dn_no,stockist_no,target_name,detail
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  cert & Mill Cert of 4931-1.pdf,4931-1,4931,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  cert & Mill Cert of 4931-2.pdf,4931-2,4931,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  cert & Mill Cert of 4931-3.pdf,4931-3,4931,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill cert & mill cert of 1041-1.pdf,1041-1,1041,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill cert & mill cert of 1041-2.pdf,1041-2,1041,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill cert & mill cert of 1041-3.pdf,1041-3,1041,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill cert & mill cert of 1041-4.pdf,1041-4,1041,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill cert & mill cert of 2962-1.pdf,2962-1,2962,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill cert & mill cert of 2962-2.pdf,2962-2,2962,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill Cert & mill cert of 3706-1.pdf,3706-1,3706,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill Cert & mill cert of 3706-2.pdf,3706-2,3706,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill Cert & mill cert of 3706-3.pdf,3706-3,3706,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill Cert & mill cert of 3706-4.pdf,3706-4,3706,,,dn not in mapping
SKIP_NO_MAP,OF,D:\Stockist&Test Report\Stockist Cert\Stockist  Mill Cert & mill cert of 3706-5.pdf,3706-5,3706,,,dn not in mapping
